hex,lat,lon,time
a7b8ad,42.904781,-106.457392,1696118400.016
acf2cf,31.800462,-106.394628,1696118400.016
ac956b,31.797716,-106.376537,1696118400.016
ac0418,31.799274,-106.365784,1696118400.016
abf516,35.620213,-106.082786,1696118400.016
aa023f,39.908721,-105.112061,1696118400.016
a6e0c9,39.905882,-105.105301,1696118400.016
a25374,39.567135,-104.848306,1696118400.016
a72808,39.570287,-104.8479,1696118400.016
a3c906,39.570969,-104.847799,1696118400.016
a03745,41.155786,-104.82115,1696118400.016
a26fc9,38.800037,-104.701259,1696118400.016
~2ecb08,39.852711,-104.696557,1696118400.016
~2ec1d9,39.889126,-104.696259,1696118400.016
~2ecc76,39.889126,-104.696259,1696118400.016
~2ecf9d,39.893829,-104.696229,1696118400.016
~2ec2f3,39.893829,-104.696229,1696118400.016
~2ec731,39.893829,-104.696229,1696118400.016
~2ec51b,39.893829,-104.696229,1696118400.016
~2ec52c,39.895157,-104.695945,1696118400.016
a43e7f,39.873516,-104.686556,1696118400.016
a80e4e,39.854034,-104.685181,1696118400.016
aacfe9,39.859074,-104.685123,1696118400.016
a19b18,39.840674,-104.685043,1696118400.016
ac36cc,39.861622,-104.684982,1696118400.016
ac2fc3,39.847481,-104.684108,1696118400.016
ac033e,39.849239,-104.684097,1696118400.016
~2ec60b,39.862347,-104.681466,1696118400.016
~2ec805,39.857094,-104.681227,1696118400.016
a43e5e,39.859306,-104.680984,1696118400.016
aa3b05,39.862041,-104.680573,1696118400.016
ac59aa,39.858177,-104.680527,1696118400.016
a98051,39.88052,-104.680063,1696118400.016
~2ec5fe,39.853031,-104.679779,1696118400.016
a59f15,39.859946,-104.679031,1696118400.016
a4495c,39.858158,-104.678526,1696118400.016
aa4a9b,39.86356,-104.678361,1696118400.016
ab3655,39.857828,-104.67804,1696118400.016
abc09e,39.862646,-104.677856,1696118400.016
abf308,39.863508,-104.677536,1696118400.016
a57f04,39.859943,-104.67751,1696118400.016
a1ca5f,39.862158,-104.677353,1696118400.016
a55b3c,39.859337,-104.677078,1696118400.016
a583f5,39.858112,-104.676272,1696118400.016
a5c694,39.859291,-104.675585,1696118400.016
ab5ed8,39.863484,-104.675415,1696118400.016
a08512,39.856659,-104.675137,1696118400.016
a9ec06,39.859935,-104.675064,1696118400.016
aa739d,39.857258,-104.674881,1696118400.016
a2aab5,39.831049,-104.67485,1696118400.016
a2ce05,39.863531,-104.674316,1696118400.016
a60814,39.856636,-104.673823,1696118400.016
3c4a05,39.855035,-104.673096,1696118400.016
a60c09,39.863937,-104.673077,1696118400.016
a81a81,39.852779,-104.672913,1696118400.016
a2b081,39.861317,-104.672301,1696118400.016
a21432,39.853477,-104.672077,1696118400.016
aa64ba,39.858201,-104.672043,1696118400.016
a445ef,39.859935,-104.671982,1696118400.016
a98b76,39.853464,-104.671524,1696118400.016
a94b6b,39.860836,-104.67142,1696118400.016
a123e0,39.858021,-104.67142,1696118400.016
~2ecff4,39.828484,-104.671271,1696118400.016
abaa0e,39.864098,-104.671032,1696118400.016
abc455,39.862495,-104.671002,1696118400.016
a12f09,39.857357,-104.670913,1696118400.016
a513ea,39.863531,-104.670547,1696118400.016
ac0c8b,39.862495,-104.668972,1696118400.016
~2ec5ee,39.852801,-104.668808,1696118400.016
a1110d,39.856723,-104.668762,1696118400.016
ac2439,39.861877,-104.66848,1696118400.016
a7df61,39.857328,-104.668304,1696118400.016
a58dc2,39.860081,-104.667509,1696118400.016
~2ec339,39.855846,-104.667479,1696118400.016
~2ec751,39.828529,-104.667091,1696118400.016
a5fd2d,39.862438,-104.666942,1696118400.016
a03356,39.857223,-104.666901,1696118400.016
a92367,39.860598,-104.666809,1696118400.016
abd5e0,39.864716,-104.666688,1696118400.016
ab6229,39.86348,-104.666644,1696118400.016
~2ec3d9,39.852824,-104.666595,1696118400.016
a44585,39.859966,-104.665927,1696118400.016
~2ec6a1,39.855803,-104.665573,1696118400.016
~2ec8e3,39.856808,-104.665479,1696118400.016
~2ec604,39.859703,-104.665285,1696118400.016
~2ec0af,39.858891,-104.665196,1696118400.016
a2f0aa,39.856796,-104.665151,1696118400.016
~2eca1b,39.827991,-104.664927,1696118400.016
~2ec50e,39.853031,-104.664673,1696118400.016
a126e7,39.861075,-104.664612,1696118400.016
~2ec6c7,39.828529,-104.664599,1696118400.016
~2ec365,39.828529,-104.664599,1696118400.016
~2ec6ff,39.829388,-104.664584,1696118400.016
a0205c,39.856796,-104.664479,1696118400.016
a40312,39.853054,-104.663807,1696118400.016
a43ea6,39.85912,-104.663498,1696118400.016
a43ea7,39.861019,-104.663464,1696118400.016
aa739e,39.86285,-104.663449,1696118400.016
ac0bc4,39.863927,-104.663437,1696118400.016
a31a2d,39.870036,-104.663361,1696118400.016
ac0c24,39.860179,-104.662979,1696118400.016
abca00,39.847549,-104.662494,1696118400.016
a39fb1,39.867406,-104.662231,1696118400.016
a6045d,39.869122,-104.662225,1696118400.016
abe448,39.873734,-104.662165,1696118400.016
a92365,39.874557,-104.662165,1696118400.016
a126e8,39.875797,-104.66214,1696118400.016
a494eb,39.876426,-104.662125,1696118400.016
aa56f8,39.877556,-104.661762,1696118400.016
~2ec0ea,39.852951,-104.661688,1696118400.016
~2ec88d,39.864986,-104.661667,1696118400.016
~2ec8bd,39.852951,-104.661658,1696118400.016
~2ecad7,39.86499,-104.661658,1696118400.016
~2ecd7d,39.86499,-104.661658,1696118400.016
~2ecc2c,39.869144,-104.661598,1696118400.016
~2ec5ea,39.83226,-104.658986,1696118400.016
~2ec5b8,39.83226,-104.658986,1696118400.016
~2ec057,39.83226,-104.658986,1696118400.016
~2ec2c5,39.83226,-104.658986,1696118400.016
~2ec3f7,39.856728,-104.658747,1696118400.016
~2ecb01,39.864235,-104.648462,1696118400.016
~2ec93a,39.864853,-104.648253,1696118400.016
~2ecf62,39.856659,-104.64797,1696118400.016
~2ec588,39.862667,-104.647223,1696118400.016
~2eca39,39.856613,-104.646358,1696118400.016
~2ec4bb,39.856705,-104.64582,1696118400.016
~2ec895,39.856682,-104.645805,1696118400.016
~2ec2a5,39.86039,-104.645567,1696118400.016
a38d77,38.283664,-104.497057,1696118400.016
a66e7a,20.520287,-103.307144,1696118400.016
ab28bf,44.042965,-103.059966,1696118400.016
a0293f,31.939165,-102.205642,1696118400.016
0d0cbc,19.427422,-99.090988,1696118400.016
ab437a,19.434023,-99.068642,1696118400.016
4851ad,19.442135,-99.061736,1696118400.016
a6a309,30.400078,-97.899939,1696118400.016
a5aa78,30.209633,-97.674462,1696118400.016
a717b6,30.200194,-97.67336,1696118400.016
acaa1c,30.203534,-97.659901,1696118400.016
a04dfa,30.191803,-97.659695,1696118400.016
a0681c,35.394859,-97.599306,1696118400.016
a56375,33.072025,-97.229775,1696118400.016
a8a337,31.612816,-97.225894,1696118400.016
a01567,32.901226,-97.059911,1696118400.016
ab3214,32.897361,-97.054652,1696118400.016
76ccd1,32.91568,-97.052193,1696118400.016
a21ed4,32.913254,-97.050764,1696118400.016
ac763e,32.883911,-97.048952,1696118400.016
ab44a7,32.87978,-97.048801,1696118400.016
a9a91a,32.897644,-97.047661,1696118400.016
a9cca5,32.902004,-97.047647,1696118400.016
a1a986,32.905449,-97.046782,1696118400.016
a24782,32.905106,-97.046741,1696118400.016
ad2862,32.900829,-97.046707,1696118400.016
a1cd4e,32.906376,-97.046095,1696118400.016
aa42aa,32.904611,-97.045838,1696118400.016
a347b1,32.902748,-97.04567,1696118400.016
ab5fdd,32.897093,-97.045628,1696118400.016
ab7627,32.896313,-97.045628,1696118400.016
a28b5b,32.905792,-97.045518,1696118400.016
a0a2bd,32.895813,-97.045515,1696118400.016
a1d4bc,32.908661,-97.045431,1696118400.016
a10931,32.901363,-97.045381,1696118400.016
a2c56d,32.907556,-97.045095,1696118400.016
a2c90d,32.907474,-97.044773,1696118400.016
a06010,32.90189,-97.043829,1696118400.016
ab271f,32.899979,-97.043624,1696118400.016
ade543,32.893845,-97.043541,1696118400.016
a25c6e,32.900829,-97.043399,1696118400.016
ad9edf,32.901958,-97.042909,1696118400.016
acf486,32.899956,-97.042643,1696118400.016
a2e57e,32.901821,-97.042415,1696118400.016
ac7a5e,32.885025,-97.040877,1696118400.016
a99686,32.887317,-97.039041,1696118400.016
ac97e4,32.90055,-97.038803,1696118400.016
a53207,32.894188,-97.038597,1696118400.016
a22003,32.910095,-97.038391,1696118400.016
ac7103,32.901772,-97.038299,1696118400.016
a8bf73,32.894847,-97.038299,1696118400.016
aafbf3,32.901876,-97.03792,1696118400.016
a8d5bd,32.894766,-97.037906,1696118400.016
ab0a95,32.909065,-97.037773,1696118400.016
adcdcc,32.907358,-97.037556,1696118400.016
a8aa87,32.894882,-97.03743,1696118400.016
abbb24,32.900311,-97.037224,1696118400.016
ac71dd,32.907381,-97.037023,1696118400.016
aa5d60,32.90801,-97.037023,1696118400.016
a506d1,32.894882,-97.036981,1696118400.016
a07b3e,32.907207,-97.036575,1696118400.016
a08a1a,32.906937,-97.03629,1696118400.016
a89f62,32.89967,-97.036221,1696118400.016
a0cdf3,32.895499,-97.036141,1696118400.016
a3615f,32.892566,-97.036113,1696118400.016
a1e9ac,32.910093,-97.036028,1696118400.016
ac96be,32.899555,-97.035974,1696118400.016
a3ed91,32.902645,-97.035864,1696118400.016
ac8ce5,32.89579,-97.035741,1696118400.016
ad3d4b,32.887802,-97.035686,1696118400.016
a3b414,32.888842,-97.035678,1696118400.016
a9969b,32.886612,-97.035645,1696118400.016
a0e431,32.906353,-97.035645,1696118400.016
a07b8f,32.892036,-97.035603,1696118400.016
a8a6d0,32.902959,-97.03558,1696118400.016
a59398,32.896019,-97.035562,1696118400.016
acdf9a,32.906136,-97.035468,1696118400.016
a0f566,32.898457,-97.035439,1696118400.016
ac8583,32.898937,-97.03537,1696118400.016
aced23,32.905861,-97.035301,1696118400.016
acd296,32.897477,-97.035244,1696118400.016
a08021,32.898811,-97.035205,1696118400.016
acb9ed,32.896454,-97.035178,1696118400.016
aa25a6,32.8884,-97.035174,1696118400.016
aa2701,32.898022,-97.035136,1696118400.016
a163f2,32.904623,-97.035118,1696118400.016
~2f079f,32.908661,-97.035048,1696118400.016
a97029,32.887768,-97.034999,1696118400.016
ac5569,32.897803,-97.034921,1696118400.016
~2f0b12,32.909615,-97.034834,1696118400.016
a36130,32.892094,-97.034244,1696118400.016
ac893a,32.896407,-97.034221,1696118400.016
a3e55a,32.889347,-97.033969,1696118400.016
ab00ce,32.90332,-97.033828,1696118400.016
ad9811,32.889164,-97.033214,1696118400.016
~2f02ed,32.912223,-97.033198,1696118400.016
~2f06e1,32.915165,-97.033186,1696118400.016
~2f02d9,32.910558,-97.033184,1696118400.016
~2f0827,32.915295,-97.032749,1696118400.016
a0e086,32.89892,-97.032735,1696118400.016
~2f0110,32.91045,-97.032555,1696118400.016
~2f032d,32.910151,-97.032063,1696118400.016
~2f047d,32.910442,-97.032021,1696118400.016
~2f0a31,32.915621,-97.031965,1696118400.016
~2f03d3,32.914249,-97.031964,1696118400.016
~2f09fc,32.914911,-97.031937,1696118400.016
~2f0384,32.91386,-97.031827,1696118400.016
~2f0a3a,32.913968,-97.031825,1696118400.016
~2f0e56,32.911995,-97.031786,1696118400.016
~2f03ea,32.91199,-97.031783,1696118400.016
~2f012f,32.91199,-97.031783,1696118400.016
~2f04ab,32.91199,-97.031783,1696118400.016
~2f0531,32.910989,-97.031768,1696118400.016
~2f03ae,32.913026,-97.031768,1696118400.016
~2f07ec,32.914143,-97.031642,1696118400.016
~2f04b9,32.914632,-97.031614,1696118400.016
~2f0c40,32.915423,-97.031572,1696118400.016
~2f096d,32.900379,-97.031415,1696118400.016
~2f0767,32.901157,-97.031401,1696118400.016
~2f0c1b,32.904786,-97.031376,1696118400.016
~2f00ae,32.899979,-97.031223,1696118400.016
~2f0270,32.914806,-97.031166,1696118400.016
~2f0c5b,32.903285,-97.031012,1696118400.016
~2f095c,32.904659,-97.030879,1696118400.016
~2f04e8,32.914398,-97.030838,1696118400.016
~2f0e75,32.915295,-97.030816,1696118400.016
~2f017e,32.901178,-97.029106,1696118400.016
~2f0997,32.90467,-97.028658,1696118400.016
~2f07a5,32.901157,-97.028586,1696118400.016
~2f0785,32.904591,-97.028572,1696118400.016
a7db0b,32.909686,-97.027957,1696118400.016
~2f0b67,32.913747,-97.027887,1696118400.016
a04bbe,32.914867,-97.027309,1696118400.016
a313bf,32.915586,-97.026836,1696118400.016
